sub_num,case_nm,s_j_close,s_j_mid,s_j_far,s_j_high
8,AB,-1.7869,-1.765,-1.9364,-1.813
8,AB,-1.6324,-1.7942,-1.8751,-1.8625
8,AB,-1.5624,-1.6046,-1.8607,-1.82
8,AB,-1.7011,-1.777,-1.9049,-1.5641
8,AB,-1.7637,-1.7606,-1.8387,-1.8568
8,AB,-1.5017,-1.7271,-1.723,-1.7458
8,AB,-1.5537,-1.7772,-1.7593,-1.5785
8,EP,-2.5657,-1.9128,-2.1458,-1.7111
8,EP,-2.6964,-1.6901,-1.9302,-1.8155
8,EP,-2.3337,-1.6896,-1.7746,-1.8476
8,EP,-2.588,-1.5243,-2.0504,-1.937
8,EP,-2.5515,-1.6776,-1.8797,-2.0451
8,EP,-2.3462,-1.6296,-1.5067,-1.6237
8,EP,-1.8161,-1.5643,-3.3167,-1.5741
8,EP,-2.4958,-2.2703,-1.7658,-2.4883
8,EP,-2.1525,-1.9091,-1.6647,-1.7083
8,EP,-2.8138,-1.6349,-1.6613,-1.7879
8,TS,-1.9899,-1.8859,-1.7183,-1.9603
8,TS,-2.0132,-1.8516,-1.6554,-1.7826
8,TS,-2.0346,-1.6725,-2.0989,-2.1606
8,TS,-1.9745,-1.6583,-2.0237,-2.1473
8,TS,-2.1297,-2.0487,-1.9328,-2.0866
8,TS,-2.2827,-1.9454,-1.7866,-1.8858
8,TS,-2.3287,-1.6028,-2.0289,-1.8276
8,TS,-2.8091,-1.7837,-1.7408,-1.8893
8,TS,-2.5843,-1.9315,-1.8992,-1.8929
8,TS,-2.2971,-2.2,-2.2006,-1.9027
8,JS,-3.0183,-3.4475,-2.0315,-2.0444
8,JS,-2.4545,-1.7183,-1.9104,-2.2505
8,JS,-2.8493,-1.7193,-2.1017,-2.1377
8,JS,-2.4896,-1.9033,-1.8496,-1.9195
8,JS,-2.0425,-2.1202,-1.5731,-1.7705
8,JS,-3.0347,-1.626,-1.9409,-2.0852
8,JS,-2.3626,-1.5047,-1.949,-1.7683
8,JS,-2.5131,-2.1608,-2.0179,-1.8263
8,JS,-2.3215,-2.0075,-1.616,-1.9984
8,JS,-2.6411,-1.9256,-1.6642,-1.9525
9,AB,-1.914,-1.7343,-1.825,-1.6456
9,AB,-1.749,-1.7378,-1.8069,-1.523
9,AB,-1.8493,-1.6088,-1.7951,-1.5248
9,AB,-1.7294,-1.6942,-1.7007,-1.5617
9,AB,-1.7124,-1.743,-1.598,-1.6518
9,AB,-1.7029,-1.5885,-1.7165,-1.5366
9,AB,-1.7665,-1.6725,-1.6958,-1.5853
9,AB,-1.6724,-1.8291,-1.6168,-1.6194
9,AB,-1.7354,-1.6058,-1.6362,-1.6409
9,AB,-1.7251,-1.6028,-1.7079,-1.6204
9,EP,-2.4645,-5.0062,-2.3917,-5.248
9,EP,-2.1747,-2.4359,-3.7825,-1.9598
9,EP,-2.0217,-1.8942,-2.7384,-1.9427
9,EP,-2.6979,-3.739,-2.3921,-1.7283
9,EP,-1.8925,-1.8854,-9.7565,-2.5094
9,EP,-2.2295,-1.8488,-1.8908,-2.0908
9,EP,-6.6369,-2.465,-2.8486,-2.0523
9,EP,-2.0764,-1.8859,-5.229,-4.0449
9,EP,-2.2062,-2.4378,-3.8642,-2.342
9,EP,-2.5804,-7.689,-3.2717,-2.7957
9,TS,-1.6585,-1.9648,-2.1109,-1.5436
9,TS,-1.4749,-1.8719,-1.9765,-1.6426
9,TS,-2.3787,-2.4265,-1.792,-1.7525
9,TS,-2.0227,-1.937,-1.6873,-1.8241
9,TS,-2.015,-2.0204,-1.7966,-1.6857
9,TS,-2.1728,-1.7888,-1.881,-1.7077
9,TS,-2.1203,-1.8374,-1.8741,-1.7029
9,TS,-2.372,-1.949,-1.8491,-1.6283
9,TS,-2.0298,-1.6608,-1.7463,-1.775
9,TS,-2.0891,-1.6881,-1.6364,-1.7187
9,JS,-1.8573,-1.8258,-2.1035,-1.7068
9,JS,-1.9741,-1.6881,-1.8678,-1.6642
9,JS,-1.9634,-1.8584,-2.0732,-2.5347
9,JS,-2.5954,-1.5699,-2.0328,-2.1842
9,JS,-2.4637,-1.702,-2.2952,-1.7114
9,JS,-1.7548,-1.7099,-2.0018,-1.7616
9,JS,-2.7125,-1.7162,-2.3291,-1.5314
9,JS,-2.3564,-1.9035,-1.8886,-1.706
9,JS,-2.0594,-1.8292,-2.3612,-1.5119
9,JS,-2.0908,-2.0402,-1.8039,-1.8798
10,AB,-1.7628,-1.6462,-1.7557,-1.9692
10,AB,-1.6774,-1.9388,-1.8345,-1.5605
10,AB,-1.8583,-1.6715,-1.8236,-1.593
10,AB,-1.867,-2.3867,-2.099,-1.6466
10,AB,-1.8881,-1.8814,-1.7961,-1.6914
10,AB,-1.9194,-1.9831,-1.9005,-1.853
10,AB,-1.7193,-1.6748,-1.5561,-1.6729
10,AB,-2.1506,-1.7208,-1.7005,-1.6169
10,AB,-1.7035,-1.6904,-1.9588,-1.4758
10,AB,-1.6969,-1.7872,-1.776,-1.5124
10,EP,-2.0727,-5.2228,-2.7236,-2.7165
10,EP,-3.0491,-4.3591,-2.7571,-2.5089
10,EP,-2.3502,-1.7903,-2.3019,-3.3588
10,EP,-1.7347,-2.3417,-2.1773,-1.6159
10,EP,-1.8737,-1.5332,-2.0734,-1.576
10,EP,-1.8953,-1.4195,-2.3175,-1.7043
10,EP,-2.2907,-1.6571,-1.8595,-1.7151
10,EP,-2.0706,-1.5726,-2.4813,-1.5544
10,EP,-3.3251,-1.4961,-2.3619,-1.5155
10,EP,-2.3385,-1.6262,-2.5042,-1.6956
10,TS,-1.6979,-2.2092,-1.9485,-2.4047
10,TS,-1.8482,-1.9289,-1.6617,-1.7003
10,TS,-1.6199,-1.6487,-2.2872,-2.2842
10,TS,-2.8806,-1.4689,-2.1269,-2.2032
10,TS,-1.8012,-2.1438,-1.9545,-2.7269
10,TS,-1.7188,-2.4849,-2.3048,-2.4623
10,TS,-2.2163,-2.0155,-1.8805,-2.0586
10,TS,-2.3022,-1.8519,-1.7731,-2.2247
10,TS,-2.1614,-2.0916,-2.2357,-2.1067
10,TS,-1.8927,-1.564,-2.3443,-2.3968
10,JS,-1.6913,-1.7805,-2.3373,-2.0723
10,JS,-1.9289,-1.6585,-1.6017,-1.5183
10,JS,-2.0674,-1.7531,-1.6623,-2.1796
10,JS,-2.2898,-1.5794,-1.749,-1.8334
10,JS,-2.4454,-2.3704,-1.5834,-1.671
10,JS,-2.161,-1.5042,-1.4521,-1.9915
10,JS,-2.2562,-1.5036,-1.6065,-2.3438
10,JS,-2.7417,-1.6106,-1.6275,-1.5828
10,JS,-1.8273,-1.6652,-1.6054,-2.89
10,JS,-2.1458,-1.7347,-1.665,-1.7928
11,AB,-1.6926,-1.5738,-1.58,-1.7021
11,AB,-1.4675,-1.7195,-1.6479,-1.4635
11,AB,-1.4839,-1.6452,-1.701,-1.4811
11,AB,-1.4484,-1.6054,-1.6076,-1.48
11,AB,-1.6187,-1.7121,-1.4318,-1.8943
11,AB,-1.8044,-1.6703,-1.4076,-1.4567
11,AB,-1.4901,-1.4983,-2.0126,-1.4503
11,AB,-1.5323,-1.5949,-1.6472,-1.4292
11,AB,-1.6083,-1.5303,-1.6705,-1.4809
11,AB,-1.6707,-1.6071,-1.4528,-1.5069
11,EP,-4.1469,-1.9841,-2.1334,-1.955
11,EP,-2.0438,-2.0393,-2.039,-1.7775
11,EP,-2.6293,-1.8969,-2.1251,-1.8663
11,EP,-5.1589,-2.3726,-2.5903,-2.2092
11,EP,-2.3816,-1.9056,-2.1396,-2.0116
11,EP,-2.8082,-1.7642,-2.2792,-2.4731
11,EP,-2.332,-2.3481,-2.8183,-2.3584
11,EP,-2.7221,-1.8661,-2.4852,-2.3014
11,EP,-2.0216,-2.0411,-1.7943,-2.3213
11,EP,-2.3343,-2.8366,-1.9782,-1.7914
11,TS,-1.8404,-1.5547,-1.6941,-1.6233
11,TS,-1.8371,-1.6517,-1.6127,-1.7138
11,TS,-2.2825,-1.6492,-1.6916,-1.8628
11,TS,-1.8563,-2.0201,-1.694,-1.7566
11,TS,-2.9309,-1.7211,-1.5165,-2.0084
11,TS,-2.432,-1.7379,-1.5563,-1.8067
11,TS,-3.3557,-1.6932,-2,-1.6878
11,TS,-3.0999,-1.8084,-1.7588,-1.8157
11,TS,-3.0903,-1.7111,-1.6629,-1.6785
11,TS,-2.3281,-1.6839,-1.6821,-1.7416
11,JS,-1.9961,-1.5407,-1.7224,-1.6556
11,JS,-1.9573,-1.6045,-1.5353,-1.6947
11,JS,-1.9292,-1.6623,-1.6471,-1.774
11,JS,-2.2818,-2.0503,-1.391,-1.7025
11,JS,-3.4078,-1.4908,-1.3959,-1.7354
11,JS,-2.2582,-1.5166,-1.9331,-1.7213
11,JS,-4.1827,-1.5865,-1.5688,-1.7266
11,JS,-1.8124,-1.4537,-1.5912,-1.7895
11,JS,-2.4718,-1.5511,-2.4507,-1.5447
11,JS,-2.3555,-1.5798,-1.5696,-1.7403
12,AB,-1.6072,-1.5186,-1.655,-1.7338
12,AB,-1.6926,-1.7033,-1.6297,-1.5887
12,AB,-1.5016,-1.9657,-1.6847,-1.7732
12,AB,-1.6529,-2.3405,-1.6071,-1.6753
12,AB,-1.558,-1.7101,-1.6239,-1.8276
12,AB,-1.5565,-1.504,-1.6865,-1.5047
12,AB,-1.5511,-1.5936,-1.6006,-1.8429
12,AB,-1.4119,-1.9904,-1.5862,-1.7728
12,AB,-1.5316,-1.8076,-1.5732,-1.7547
12,AB,-1.4163,-1.7472,-1.8428,-1.7183
12,EP,-2.3099,-1.4591,-2.0342,-1.7769
