sub_num,case_nm,s_h_close,s_h_mid,s_h_far,s_h_high
9,JS,-3.5776,-1.7497,-2.8773,-1.714
9,JS,-3.4796,-2.0938,-2.3121,-2.0416
9,JS,-4.6797,-1.9677,-2.6481,-1.7429
9,JS,-3.0283,-2.4223,-2.75,-1.6833
9,JS,-2.9629,-2.6199,-3.0704,-2.105
9,JS,-2.4545,-2.6902,-2.5477,-2.1883
10,AB,-1.5283,-1.3999,-1.4142,-1.7322
10,AB,-1.6188,-1.4685,-1.4048,-1.4025
10,AB,-1.8772,-1.3991,-1.5064,-1.4744
10,AB,-1.6052,-1.5438,-1.5367,-1.5113
10,AB,-1.5683,-1.4745,-1.4379,-1.4694
10,AB,-1.6533,-1.4017,-1.4028,-1.6014
10,AB,-1.4807,-1.4098,-1.4659,-1.4847
10,AB,-1.9602,-1.3957,-1.4112,-1.8613
10,AB,-1.6339,-1.4016,-1.541,-1.5006
10,AB,-1.5102,-1.49,-1.4033,-1.4254
10,EP,-1.8505,-4.1092,-3.0781,-4.1393
10,EP,-2.145,-5.2524,-3.032,-4.1762
10,EP,-1.6125,-1.9261,-3.4166,-3.6485
10,EP,-1.7541,-1.9689,-3.383,-1.9369
10,EP,-1.6727,-1.4203,-2.7777,-1.5953
10,EP,-1.9065,-1.5122,-2.4477,-1.7762
10,EP,-1.8099,-1.6384,-1.9915,-1.8989
10,EP,-1.9122,-1.4794,-2.5977,-1.5799
10,EP,-4.368,-1.5136,-2.6845,-1.52
10,EP,-1.8018,-1.5933,-2.856,-1.7222
10,TS,-1.7721,-2.9109,-2.4682,-2.3317
10,TS,-1.8047,-2.8464,-1.8849,-2.2788
10,TS,-2.2091,-1.5446,-3.7823,-3.178
10,TS,-3.4678,-1.4167,-2.1707,-2.797
10,TS,-1.8615,-1.7009,-1.9976,-3.4662
10,TS,-2.1007,-1.7165,-3.1522,-1.9425
10,TS,-3.0943,-2.5706,-3.2247,-2.7089
10,TS,-1.9993,-1.6109,-2.4367,-2.606
10,TS,-1.5719,-1.592,-2.4945,-1.9949
10,TS,-2.3494,-1.4683,-2.7459,-2.8074
10,JS,-1.7751,-1.4227,-2.5072,-1.8486
10,JS,-2.1439,-1.5261,-2.3093,-1.5766
10,JS,-2.306,-1.6746,-2.0855,-2.9512
10,JS,-2.2253,-1.6587,-2.038,-2.1093
10,JS,-2.1949,-1.8211,-1.8067,-1.9211
10,JS,-2.0183,-2.4954,-2.121,-1.7961
10,JS,-2.1015,-2.0698,-2.0452,-2.7986
10,JS,-2.006,-2.0868,-2.2167,-2.0716
10,JS,-2.2041,-1.4409,-1.991,-2.4158
10,JS,-2.1249,-2.404,-2.1787,-1.6078
11,AB,-1.7949,-1.3904,-1.5235,-1.5556
11,AB,-1.4722,-1.4107,-1.41,-1.4228
11,AB,-1.4115,-1.3994,-1.4507,-1.4788
11,AB,-1.3914,-1.4669,-1.3994,-1.3998
11,AB,-1.3952,-1.4478,-1.4579,-1.3989
11,AB,-3.5319,-1.4389,-1.5073,-1.4348
11,AB,-2.4537,-1.4439,-2.1471,-1.4024
11,AB,-1.4008,-1.4008,-1.5459,-1.6592
11,AB,-1.463,-1.4333,-1.5707,-1.3982
11,AB,-1.4302,-1.4792,-1.5211,-1.4032
11,EP,-2.935,-2.84,-2.3581,-1.879
11,EP,-1.9782,-3.0867,-2.3546,-1.6443
11,EP,-1.8648,-2.234,-3.1814,-1.7436
11,EP,-6.8017,-2.709,-2.2031,-2.2331
11,EP,-1.8824,-2.3384,-2.9269,-2.0012
11,EP,-3.1652,-1.6022,-2.6156,-2.9116
11,EP,-1.8144,-3.359,-2.6588,-3.07
11,EP,-1.6825,-2.2389,-3.3274,-2.548
11,EP,-1.8414,-1.7366,-3.3816,-2.2744
11,EP,-1.6328,-2.5531,-2.6108,-1.7852
11,TS,-1.7941,-2.4038,-1.734,-1.6859
11,TS,-2.0791,-1.426,-1.7292,-1.5249
11,TS,-1.6149,-2.1366,-1.707,-1.5866
11,TS,-1.81,-1.6718,-1.8251,-1.5357
11,TS,-1.5913,-1.4845,-1.902,-1.7346
11,TS,-1.6307,-1.9719,-2.0798,-1.5555
11,TS,-1.8383,-1.4424,-3.8701,-1.5841
11,TS,-4.0645,-1.4474,-2.0806,-1.472
11,TS,-1.5985,-1.8994,-1.9577,-1.439
11,TS,-1.7279,-2.2996,-1.6653,-1.4947
11,JS,-1.7917,-1.6492,-1.7181,-2.1641
11,JS,-1.5897,-1.5045,-1.4749,-1.721
11,JS,-1.7406,-1.7517,-1.4397,-2.173
11,JS,-1.6254,-1.8509,-1.9928,-1.6128
11,JS,-2.536,-1.789,-1.5089,-1.5376
11,JS,-1.6862,-1.5456,-2.6663,-1.7159
11,JS,-1.9566,-1.4413,-1.5098,-1.8194
11,JS,-1.7059,-1.8668,-1.9261,-1.5528
11,JS,-1.7676,-1.4294,-2.3514,-1.587
11,JS,-1.7112,-1.43,-1.7292,-2.4299
12,AB,-1.5168,-1.3922,-1.4509,-1.5835
12,AB,-1.5303,-1.833,-1.5524,-1.4401
12,AB,-1.4153,-1.5762,-1.4292,-1.5917
12,AB,-1.6414,-2.0995,-1.7284,-1.5383
12,AB,-1.3988,-1.4049,-1.4105,-1.5415
12,AB,-1.4005,-1.4803,-1.5176,-1.4145
12,AB,-1.5636,-1.399,-1.4045,-1.626
12,AB,-1.4043,-1.5733,-1.5628,-1.5624
12,AB,-1.4075,-1.4614,-1.5403,-1.5729
