sub_num,case_nm,target,d_sh
6,TS,Mid,0.030181
6,TS,Mid,0.049065
6,TS,Mid,0.063519
6,TS,Mid,-0.0025893
6,JS,Mid,0.048182
6,JS,Mid,0.087189
6,JS,Mid,0.062268
6,JS,Mid,0.08175
6,JS,Mid,0.01062
6,JS,Mid,0.068418
6,JS,Mid,0.048267
6,JS,Mid,0.10113
6,JS,Mid,0.058717
6,JS,Mid,0.054558
7,AB,Mid,0.096187
7,AB,Mid,0.08265
7,AB,Mid,0.078541
7,AB,Mid,0.10059
7,AB,Mid,0.11502
7,AB,Mid,0.13295
7,AB,Mid,0.089983
7,AB,Mid,0.083162
7,AB,Mid,0.091115
7,AB,Mid,0.090806
7,EP,Mid,0.087542
7,EP,Mid,0.065786
7,EP,Mid,0.10156
7,EP,Mid,0.082211
7,EP,Mid,0.097103
7,EP,Mid,0.10933
7,EP,Mid,0.12661
7,EP,Mid,0.1352
7,EP,Mid,0.13526
7,EP,Mid,0.11558
7,TS,Mid,0.072169
7,TS,Mid,0.086267
7,TS,Mid,0.088636
7,TS,Mid,0.072949
7,TS,Mid,0.043463
7,TS,Mid,0.051476
7,TS,Mid,0.058208
7,TS,Mid,0.080077
7,TS,Mid,0.052859
7,TS,Mid,0.091457
7,JS,Mid,0.091093
7,JS,Mid,0.082276
7,JS,Mid,0.10236
7,JS,Mid,0.11775
7,JS,Mid,0.097732
7,JS,Mid,0.090884
7,JS,Mid,0.063256
7,JS,Mid,0.10837
7,JS,Mid,0.098014
7,JS,Mid,0.062735
8,AB,Mid,0.093429
8,AB,Mid,0.06454
8,AB,Mid,0.06846
8,AB,Mid,0.083754
8,AB,Mid,0.04988
8,AB,Mid,0.077014
8,AB,Mid,0.074474
8,AB,Mid,0.053139
8,AB,Mid,0.048325
8,AB,Mid,0.024505
8,EP,Mid,0.078661
8,EP,Mid,0.080169
8,EP,Mid,0.072616
8,EP,Mid,0.031323
8,EP,Mid,0.035672
8,EP,Mid,0.064073
8,EP,Mid,0.047442
8,EP,Mid,0.063538
8,EP,Mid,0.084164
8,EP,Mid,0.073833
8,TS,Mid,0.082697
8,TS,Mid,0.028944
8,TS,Mid,0.038262
8,TS,Mid,0.074079
8,TS,Mid,0.045594
8,TS,Mid,0.038296
8,TS,Mid,0.054371
8,TS,Mid,0.050702
8,TS,Mid,0.050963
8,TS,Mid,0.033083
8,JS,Mid,0.058162
8,JS,Mid,0.050967
8,JS,Mid,0.042389
8,JS,Mid,0.018477
8,JS,Mid,0.062361
8,JS,Mid,0.042518
8,JS,Mid,0.033358
8,JS,Mid,0.037197
8,JS,Mid,0.057845
8,JS,Mid,0.041769
9,AB,Mid,0.071248
9,AB,Mid,0.069398
9,AB,Mid,0.075615
9,AB,Mid,0.08179
9,AB,Mid,0.077137
9,AB,Mid,0.063818
9,AB,Mid,0.07063
9,AB,Mid,0.087507
9,AB,Mid,0.091014
9,AB,Mid,0.085684
9,EP,Mid,0.01074
9,EP,Mid,0.031777
9,EP,Mid,0.058886
9,EP,Mid,0.03056
9,EP,Mid,0.0051434
9,EP,Mid,0.073703
9,EP,Mid,0.029592
9,EP,Mid,0.042186
9,EP,Mid,0.03372
9,EP,Mid,0.012831
9,TS,Mid,0.046846
9,TS,Mid,0.028808
9,TS,Mid,0.01448
9,TS,Mid,0.050142
9,TS,Mid,0.00082123
9,TS,Mid,0.015093
9,TS,Mid,0.014515
9,TS,Mid,0.034953
9,TS,Mid,0.021448
9,TS,Mid,-0.0078749
9,JS,Mid,0.050902
9,JS,Mid,0.015574
9,JS,Mid,0.041906
9,JS,Mid,0.026467
9,JS,Mid,0.0023491
9,JS,Mid,0.02431
9,JS,Mid,0.036905
9,JS,Mid,0.048053
9,JS,Mid,0.032579
9,JS,Mid,-0.0025013
10,AB,Mid,0.081004
10,AB,Mid,0.080657
10,AB,Mid,0.096163
10,AB,Mid,0.099594
10,AB,Mid,0.087972
10,AB,Mid,0.08863
10,AB,Mid,0.077881
10,AB,Mid,0.099532
10,AB,Mid,0.09676
10,AB,Mid,0.10482
10,EP,Mid,0.034302
10,EP,Mid,0.061076
10,EP,Mid,0.053217
10,EP,Mid,0.055838
10,EP,Mid,0.072453
10,EP,Mid,0.08477
10,EP,Mid,0.07973
10,EP,Mid,0.098269
10,EP,Mid,0.067476
10,EP,Mid,0.071758
10,TS,Mid,0.062604
10,TS,Mid,0.051394
10,TS,Mid,0.11502
10,TS,Mid,0.1151
10,TS,Mid,0.11526
10,TS,Mid,0.078113
10,TS,Mid,0.047323
10,TS,Mid,0.071682
10,TS,Mid,0.036759
10,TS,Mid,0.084638
10,JS,Mid,0.077264
10,JS,Mid,0.04741
10,JS,Mid,0.055409
10,JS,Mid,0.052896
10,JS,Mid,0.062169
10,JS,Mid,0.034594
10,JS,Mid,0.043538
10,JS,Mid,0.036099
10,JS,Mid,0.09516
10,JS,Mid,0.069095
11,AB,Mid,0.10544
