sub_num,case_nm,target,h_diff
15,EP,Close,35.91119
15,EP,Close,56.72342
15,EP,Close,57.00721
15,EP,Close,74.16693
15,EP,Close,48.33796
15,EP,Close,52.30708
15,EP,Close,58.29157
15,EP,Close,49.95616
15,EP,Close,46.24754
15,TS,Close,62.60068
15,TS,Close,25.50969
15,TS,Close,59.30231
15,TS,Close,31.14974
15,TS,Close,41.16691
15,TS,Close,40.13298
15,TS,Close,36.12292
15,TS,Close,30.36593
15,TS,Close,34.05375
15,TS,Close,30.45811
15,JS,Close,62.9314
15,JS,Close,40.13619
15,JS,Close,39.42646
15,JS,Close,146.3334
15,JS,Close,43.25128
15,JS,Close,50.846
15,JS,Close,46.73595
15,JS,Close,39.61168
15,JS,Close,55.93555
15,JS,Close,29.22667
1,EP,Mid,33.96837
1,EP,Mid,17.81041
1,EP,Mid,51.38638
1,EP,Mid,59.93282
1,EP,Mid,79.04207
1,EP,Mid,18.66268
1,EP,Mid,32.91933
1,EP,Mid,37.96941
1,EP,Mid,40.27124
1,EP,Mid,41.42043
1,TS,Mid,121.0817
1,TS,Mid,33.9925
1,TS,Mid,31.62032
1,TS,Mid,18.54583
1,TS,Mid,24.56777
1,TS,Mid,113.1441
1,TS,Mid,349.8541
1,TS,Mid,318.7252
1,TS,Mid,104.2
1,TS,Mid,154.1412
1,JS,Mid,38.32464
1,JS,Mid,27.65919
1,JS,Mid,55.41712
1,JS,Mid,134.7204
1,JS,Mid,174.0586
1,JS,Mid,275.8431
1,JS,Mid,112.02
1,JS,Mid,38.31321
1,JS,Mid,15.02293
1,JS,Mid,114.649
2,EP,Mid,32.7716
2,EP,Mid,25.3014
2,EP,Mid,59.2465
2,EP,Mid,42.7032
2,EP,Mid,75.6344
2,EP,Mid,75.4142
2,EP,Mid,55.1035
2,EP,Mid,45.687
2,EP,Mid,27.2256
2,EP,Mid,48.3954
2,TS,Mid,10.4073
2,TS,Mid,23.8463
2,TS,Mid,13.5644
2,TS,Mid,16.7165
2,TS,Mid,11.089
2,TS,Mid,14.5669
2,TS,Mid,22.3784
2,TS,Mid,6.00828
2,TS,Mid,20.9393
2,TS,Mid,15.683
2,JS,Mid,56.048
2,JS,Mid,18.7942
2,JS,Mid,81.9908
2,JS,Mid,49.1982
2,JS,Mid,50.939
2,JS,Mid,72.8039
2,JS,Mid,35.0099
2,JS,Mid,30.4896
2,JS,Mid,68.3485
2,JS,Mid,64.5897
3,EP,Mid,11.9506
3,EP,Mid,8.57087
3,EP,Mid,40.8198
3,EP,Mid,16.6087
3,EP,Mid,50.3065
3,EP,Mid,14.6535
3,EP,Mid,26.4762
3,EP,Mid,7.60095
3,EP,Mid,8.08256
3,EP,Mid,10.9424
3,TS,Mid,30.5846
3,TS,Mid,14.6612
3,TS,Mid,44.2573
3,TS,Mid,27.2528
3,TS,Mid,37.2117
3,TS,Mid,12.9421
3,TS,Mid,44.893
3,TS,Mid,36.0696
3,TS,Mid,17.7504
3,TS,Mid,14.9995
3,JS,Mid,7.72966
3,JS,Mid,9.93875
3,JS,Mid,12.4778
3,JS,Mid,11.7004
3,JS,Mid,7.93452
3,JS,Mid,13.2545
3,JS,Mid,9.17469
3,JS,Mid,8.03652
3,JS,Mid,23.0931
3,JS,Mid,10.8936
4,EP,Mid,29.75739
4,EP,Mid,53.14697
4,EP,Mid,43.40846
4,EP,Mid,39.07087
4,EP,Mid,45.14637
4,EP,Mid,51.54866
4,EP,Mid,97.61088
4,EP,Mid,29.91774
4,EP,Mid,22.96972
4,EP,Mid,48.44649
4,TS,Mid,168.7923
4,TS,Mid,75.96829
4,TS,Mid,75.15472
4,TS,Mid,130.4413
4,TS,Mid,212.884
4,TS,Mid,91.90582
4,TS,Mid,88.8097
4,TS,Mid,71.99134
4,TS,Mid,44.05266
4,TS,Mid,85.2752
4,JS,Mid,18.77262
4,JS,Mid,26.95132
4,JS,Mid,43.22095
4,JS,Mid,60.8123
4,JS,Mid,63.61292
4,JS,Mid,14.86526
4,JS,Mid,26.26525
4,JS,Mid,24.97111
4,JS,Mid,77.22221
4,JS,Mid,56.88089
5,EP,Mid,8.77709
5,EP,Mid,12.4351
5,EP,Mid,39.6709
5,EP,Mid,33.156
5,EP,Mid,21.6273
5,EP,Mid,16.2913
5,EP,Mid,13.2756
5,EP,Mid,76.8759
5,EP,Mid,36.5358
5,EP,Mid,25.0158
5,TS,Mid,10.0149
5,TS,Mid,20.6683
5,TS,Mid,37.7947
5,TS,Mid,23.4229
5,TS,Mid,27.9167
5,TS,Mid,8.73977
5,TS,Mid,20.7213
5,TS,Mid,9.35658
5,TS,Mid,10.5052
5,TS,Mid,12.4375
5,JS,Mid,26.1274
5,JS,Mid,16.917
5,JS,Mid,55.8901
5,JS,Mid,28.4882
5,JS,Mid,34.8715
5,JS,Mid,39.8287
5,JS,Mid,35.3137
5,JS,Mid,25.8506
5,JS,Mid,33.4578
5,JS,Mid,41.6916
6,EP,Mid,49.5964
6,EP,Mid,13.4346
6,EP,Mid,26.9145
6,EP,Mid,50.0577
6,EP,Mid,83.2583
6,EP,Mid,30.4102
6,EP,Mid,29.3648
6,EP,Mid,18.6247
6,EP,Mid,44.7934
6,EP,Mid,19.6467
6,TS,Mid,15.2992
6,TS,Mid,37.5547
6,TS,Mid,64.369
6,TS,Mid,35.7332
6,TS,Mid,11.0701
6,TS,Mid,45.0573
6,TS,Mid,31.2684
6,TS,Mid,18.6788
6,TS,Mid,25.938
6,TS,Mid,52.2398
6,JS,Mid,50.7808
6,JS,Mid,21.2227
6,JS,Mid,21.712
6,JS,Mid,16.1923
6,JS,Mid,69.3999
6,JS,Mid,29.7357
6,JS,Mid,32.8035
6,JS,Mid,28.4986
6,JS,Mid,24.774
6,JS,Mid,8.24514
7,EP,Mid,23.6919
7,EP,Mid,26.9331
7,EP,Mid,12.5402
7,EP,Mid,65.9689
7,EP,Mid,31.4891
7,EP,Mid,11.635
7,EP,Mid,44.5357
7,EP,Mid,17.0469
7,EP,Mid,6.07982
7,EP,Mid,12.8403
7,TS,Mid,32.0672
7,TS,Mid,57.7909
7,TS,Mid,29.5617
7,TS,Mid,56.4089
7,TS,Mid,30.3431
7,TS,Mid,61.3739
7,TS,Mid,36.9545
7,TS,Mid,44.5395
7,TS,Mid,18.8235
7,TS,Mid,46.4983
7,JS,Mid,33.9783
7,JS,Mid,43.2712
7,JS,Mid,31.8543
7,JS,Mid,64.1491
7,JS,Mid,25.4182
7,JS,Mid,40.9909
7,JS,Mid,50.8211
7,JS,Mid,45.7273
7,JS,Mid,15.2203
7,JS,Mid,47.8384
8,EP,Mid,19.4581
8,EP,Mid,42.5548
8,EP,Mid,56.5309
8,EP,Mid,25.9181
8,EP,Mid,40.1306
8,EP,Mid,27.6947
8,EP,Mid,31.5214
8,EP,Mid,22.9892
8,EP,Mid,36.4465
8,EP,Mid,13.3433
8,TS,Mid,98.1933
8,TS,Mid,33.9445
8,TS,Mid,72.5633
8,TS,Mid,27.5294
8,TS,Mid,31.213
8,TS,Mid,23.5132
8,TS,Mid,19.725
8,TS,Mid,19.451
8,TS,Mid,14.1432
8,TS,Mid,25.1848
8,JS,Mid,25.2183
8,JS,Mid,43.9293
8,JS,Mid,31.76
8,JS,Mid,77.7705
8,JS,Mid,30.8504
8,JS,Mid,26.0099
8,JS,Mid,27.8312
8,JS,Mid,22.7936
8,JS,Mid,37.031
8,JS,Mid,13.8821
9,EP,Mid,79.89737
9,EP,Mid,95.55715
9,EP,Mid,66.59161
9,EP,Mid,78.1697
9,EP,Mid,164.0501
9,EP,Mid,49.02536
9,EP,Mid,51.7721
9,EP,Mid,60.16617
9,EP,Mid,48.36761
9,EP,Mid,446.922
9,TS,Mid,64.49642
9,TS,Mid,53.34523
9,TS,Mid,63.10514
9,TS,Mid,62.56736
9,TS,Mid,61.01084
