sub_num,case_nm,target,iteration,time
2,AB,High,4,2.4889
2,TS,High,4,2.4889
2,AB,High,23,2.4778
2,TS,Mid,13,2.4778
2,TS,Mid,20,2.4778
2,TS,High,27,2.4667
2,JS,Far,30,2.4667
2,TS,Far,13,2.4556
2,JS,Far,26,2.4556
2,JS,High,30,2.4556
2,TS,Close,5,2.44444
2,AB,Far,15,2.4444
2,TS,Far,14,2.4444
2,AB,Far,1,2.4333
2,AB,Far,23,2.4333
2,AB,Far,27,2.4333
2,TS,Far,19,2.4333
2,TS,Close,19,2.42222
2,AB,High,15,2.4222
2,JS,Mid,7,2.4222
2,AB,High,20,2.4111
2,EP,Mid,4,2.4111
2,JS,High,9,2.4111
2,AB,High,16,2.4
2,TS,Mid,26,2.4
2,AB,Mid,22,2.3889
2,JS,Far,27,2.3889
2,JS,Close,19,2.37778
2,AB,Far,26,2.3667
2,EP,Mid,5,2.3667
2,TS,Far,17,2.3667
2,TS,Close,14,2.36667
2,AB,Far,10,2.3556
2,AB,Far,21,2.3556
2,AB,Far,28,2.3444
2,JS,Mid,30,2.3444
2,AB,Close,29,2.3333
2,TS,Mid,8,2.3333
2,TS,Mid,19,2.3333
2,TS,Far,25,2.3333
2,TS,Far,30,2.3333
2,AB,Far,9,2.3222
2,EP,Mid,13,2.3222
2,TS,Close,17,2.31111
2,TS,Close,26,2.31111
2,EP,Mid,9,2.3111
2,JS,Mid,20,2.3111
2,AB,Mid,4,2.3
2,AB,Far,14,2.3
2,AB,High,28,2.3
2,TS,Far,28,2.3
2,JS,Mid,27,2.3
2,JS,Mid,6,2.2778
2,AB,Far,16,2.2667
2,AB,Mid,3,2.2556
2,TS,High,24,2.2556
2,AB,Mid,16,2.2444
2,AB,Mid,18,2.2444
2,AB,Far,24,2.2444
2,AB,High,12,2.2444
2,TS,Mid,23,2.2444
2,TS,High,19,2.2333
2,TS,Close,25,2.22222
2,AB,High,27,2.2222
2,TS,High,5,2.2222
2,TS,Close,18,2.21111
2,AB,Close,2,2.2111
2,AB,Far,18,2.2111
2,TS,Far,20,2.2111
2,EP,Mid,2,2.2
2,TS,Far,26,2.2
2,AB,Far,13,2.1889
2,TS,Mid,27,2.1889
2,TS,High,30,2.1889
2,JS,Close,3,2.18889
2,TS,High,2,2.1667
2,AB,Far,17,2.1556
2,TS,Far,18,2.1556
2,JS,Mid,8,2.1556
2,TS,Mid,25,2.1444
