sub_num,case_nm,d_c7_close,d_c7_mid,d_c7_far,d_c7_high
3,TS,0.033353,0.089526,0.28271,0.070159
3,TS,0.013526,0.12935,0.29722,0.061814
3,TS,0.008316,0.031765,0.23464,0.064493
3,TS,0.023932,0.15245,0.24079,0.070463
3,TS,0.035928,0.053975,0.2817,0.12266
3,TS,0.02408,0.080623,0.31454,0.11031
3,TS,0.010607,0.15787,0.28396,0.09265
3,TS,0.014149,0.15047,0.35764,0.10091
3,JS,0.034491,0.157,0.33724,0.075169
3,JS,0.038644,0.16701,0.33062,0.11649
3,JS,0.011825,0.19672,0.30974,0.080678
3,JS,0.018719,0.18672,0.32762,0.075058
3,JS,0.030758,0.15609,0.33121,0.057326
3,JS,0.053836,0.15714,0.30098,0.07292
3,JS,0.054724,0.17123,0.29482,0.066455
3,JS,0.02422,0.17488,0.3677,0.10336
3,JS,0.042606,0.15606,0.28394,0.12564
3,JS,0.029437,0.15287,0.30005,0.10644
4,AB,0.018069,0.010561,0.12215,0.059236
4,AB,0.018364,0.021892,0.1715,0.030181
4,AB,0.012751,0.022884,0.13601,0.025117
4,AB,0.011358,0.022079,0.16993,0.021058
4,AB,0.0061961,0.0067698,0.16828,0.037168
4,AB,0.010474,0.029504,0.16218,0.041742
4,AB,0.01928,0.017226,0.15851,0.023125
4,AB,0.0073326,0.0053172,0.12853,0.026674
4,AB,0.011819,0.030227,0.15667,0.029444
4,AB,0.026438,0.02488,0.12876,0.045243
4,EP,0.12033,0.19904,0.34054,0.15887
4,EP,0.073288,0.28771,0.37474,0.13858
4,EP,0.089303,0.29999,0.3621,0.16858
4,EP,0.056333,0.25428,0.28258,0.1349
4,EP,0.01709,0.24472,0.31047,0.12937
4,EP,0.14246,0.19651,0.34791,0.11514
4,EP,0.034989,0.16804,0.29979,0.13395
4,EP,0.076602,0.15258,0.2887,0.11101
4,EP,0.10484,0.17248,0.2994,0.17681
4,EP,0.15691,0.21799,0.31964,0.105
4,TS,0.031771,0.09872,0.25119,0.11029
4,TS,0.037328,0.036504,0.23698,0.060534
4,TS,0.10249,0.038116,0.26311,0.053725
4,TS,0.056967,0.10815,0.23167,0.11458
4,TS,0.080786,0.067629,0.28873,0.020825
4,TS,0.066441,0.018226,0.21412,0.11153
4,TS,0.1136,0.01323,0.32606,0.1156
4,TS,0.063177,0.05691,0.22983,0.078124
4,TS,0.10234,0.095802,0.2347,0.0904
4,TS,0.057171,0.073296,0.28221,0.13503
4,JS,0.067795,0.20359,0.30278,0.054351
4,JS,0.054681,0.075878,0.26487,0.035769
4,JS,0.062457,0.10276,0.29266,0.051176
4,JS,0.10251,0.086241,0.28463,0.034758
4,JS,0.18486,0.075655,0.32672,0.0793
4,JS,0.057266,0.056628,0.25535,0.024271
4,JS,0.071746,0.099146,0.26108,0.062002
4,JS,0.069173,0.049908,0.29709,0.096614
4,JS,0.13775,0.15391,0.27873,0.042843
4,JS,0.055312,0.064527,0.24376,0.076047
5,AB,0.028637,0.028442,0.18873,0.039978
5,AB,0.010101,0.048355,0.17489,0.029947
5,AB,0.01271,0.041648,0.21618,0.035021
5,AB,0.0072549,0.021965,0.19905,0.015725
5,AB,0.010802,0.033137,0.23372,0.030942
5,AB,0.024992,0.0076612,0.1936,0.028504
5,AB,0.0096224,0.0094778,0.23838,0.046737
5,AB,0.010635,0.04228,0.18311,0.0062909
5,AB,0.023758,0.023651,0.20547,0.017788
5,AB,0.015894,0.036918,0.20689,0.014398
5,EP,0.03144,0.051393,0.1969,0.13862
5,EP,0.048567,0.077584,0.17322,0.089913
5,EP,0.046819,0.081877,0.15967,0.081982
5,EP,0.027664,0.059516,0.12591,0.1102
5,EP,0.0085434,0.075572,0.17606,0.048917
5,EP,0.021412,0.052344,0.19566,0.067025
5,EP,0.0096025,0.043194,0.1277,0.10146
5,EP,0.042525,0.086744,0.14584,0.035287
5,EP,0.044747,0.10298,0.15361,0.041947
5,EP,0.056387,0.13045,0.18002,0.037264
5,TS,0.032183,0.14312,0.21661,0.044082
5,TS,0.048739,0.09922,0.2359,0.048977
5,TS,0.023153,0.076095,0.25618,0.054235
5,TS,0.034884,0.060615,0.27058,0.10083
5,TS,0.018275,0.036635,0.23612,0.024132
5,TS,0.047318,0.018586,0.25903,0.075418
5,TS,0.029998,0.060117,0.2352,0.030283
5,TS,0.023688,0.030246,0.29062,0.022585
5,TS,0.025242,0.0097636,0.19298,0.046631
5,TS,0.019073,0.029452,0.25753,0.03421
5,JS,0.26377,0.066173,0.17631,0.17848
5,JS,0.16083,0.081221,0.17429,0.097783
5,JS,0.099355,0.074393,0.21378,0.12738
5,JS,0.046365,0.076175,0.25735,0.19752
5,JS,0.03068,0.032677,0.29638,0.20248
5,JS,0.04725,0.10842,0.23202,0.16303
5,JS,0.037938,0.16888,0.23347,0.19429
5,JS,0.032309,0.11072,0.32034,0.14978
5,JS,0.010152,0.062202,0.24012,0.11371
5,JS,0.087942,0.134,0.24364,0.13771
6,AB,0.023393,0.057849,0.31059,0.035475
6,AB,0.015064,0.038156,0.30267,0.083584
6,AB,0.024439,0.042081,0.31892,0.071144
6,AB,0.016174,0.066918,0.28388,0.054846
