sub_num,case_nm,h_diff_close,h_diff_mid,h_diff_far,h_diff_high
11,AB,0,0,0,0
11,AB,0,0,0,0
11,AB,0,0,0,0
11,EP,47.4402,70.08274,130.868,63.16496
11,EP,28.4736,83.04519,145.2602,72.55742
11,EP,23.753,83.95844,104.7206,55.64131
11,EP,97.384,175.0742,89.31301,84.4862
11,EP,31.1669,72.78092,115.3295,94.75658
11,EP,53.8328,29.79066,77.74884,149.6135
11,EP,27.2563,111.6214,106.4941,152.2177
11,EP,16.5741,43.12194,87.03607,130.2146
11,EP,42.3102,57.79811,78.69318,77.28074
11,EP,20.1949,25.86972,74.65043,82.46229
11,TS,32.76,45.95452,50.53636,41.79364
11,TS,8.00767,33.52633,40.12034,51.12437
11,TS,28.5922,33.86798,47.16295,74.12488
11,TS,9.45177,41.11976,47.89322,40.74533
11,TS,27.7994,33.76453,41.02,47.96269
11,TS,45.5918,29.56859,46.41404,68.72612
11,TS,18.1467,29.641,102.7335,55.52538
11,TS,61.4908,30.8862,62.92914,36.11274
11,TS,32.0043,24.85143,34.75427,46.85187
11,TS,38.1609,90.91753,42.9024,64.15076
11,JS,25.4753,37.67339,30.06004,57.63547
11,JS,22.3394,41.05727,27.243,69.88465
11,JS,27.9616,50.36649,31.68162,80.62481
11,JS,21.6568,52.26082,33.81389,58.10957
11,JS,43.5757,34.38276,21.45274,52.73644
11,JS,49.9327,28.47202,67.47056,97.76427
11,JS,32.2297,27.16478,40.266,51.15583
11,JS,17.2502,32.02059,35.75355,42.54675
11,JS,22.8444,34.62762,42.46494,51.49706
11,JS,24.3001,42.96967,48.41075,90.5084
12,AB,0,0,0,0
12,AB,0,0,0,0
12,AB,0,0,0,0
12,AB,0,0,0,0
12,AB,0,0,0,0
12,AB,0,0,0,0
12,AB,0,0,0,0
12,AB,0,0,0,0
12,AB,0,0,0,0
12,AB,0,0,0,0
12,EP,56.6921,11.17799,126.8099,10.1225
12,EP,25.6923,100.6246,41.08632,12.6181
12,EP,25.7524,17.96552,109.292,20.9422
12,EP,20.1762,12.33809,73.68411,20.3696
12,EP,13.3186,6.331461,91.47286,39.4788
12,EP,12.5261,11.12286,159.6923,25.5153
12,EP,19.6556,8.891214,37.1824,38.0883
12,EP,18.4909,20.67749,121.4891,7.6687
12,EP,11.4859,12.04649,47.34641,33.1931
12,EP,16.683,9.922585,46.52022,15.5393
12,TS,15.5892,49.13594,280.2567,39.2132
12,TS,6.64134,37.74018,75.28973,29.06
12,TS,12.7502,33.32534,66.32189,26.6325
12,TS,9.64278,28.44391,92.41568,21.3439
12,TS,7.52299,37.1088,75.53721,47.5724
12,TS,25.958,44.22312,68.69641,48.6523
12,TS,7.57549,21.38882,83.60227,33.5584
12,TS,6.88617,44.99782,69.32907,30.9044
12,TS,8.26185,17.87068,51.36142,36.5643
12,TS,12.8795,28.12715,44.18785,53.9168
12,JS,18.7827,20.0492,31.27727,52.0761
12,JS,11.6786,20.114,41.32215,19.0965
12,JS,18.4814,29.77065,36.58037,21.4519
12,JS,10.5908,22.72681,36.82713,20.7922
12,JS,10.4904,19.10355,34.05618,24.1285
12,JS,9.30452,33.24674,44.82962,54.7649
12,JS,17.2391,30.30641,26.24268,42.7902
12,JS,7.82009,41.66711,29.19262,56.4143
12,JS,4.00809,24.28961,35.15952,61.525
12,JS,12.8743,25.55431,11.13233,37.7443
13,AB,0,0,0,0
13,AB,0,0,0,0
13,AB,0,0,0,0
13,AB,0,0,0,0
13,AB,0,0,0,0
13,AB,0,0,0,0
13,AB,0,0,0,0
13,AB,0,0,0,0
13,AB,0,0,0,0
13,AB,0,0,0,0
13,EP,86.95894,24.11393,12.42297,22.71189
13,EP,27.71129,18.03174,20.36329,29.15833
13,EP,21.97528,9.607831,22.94995,20.87474
13,EP,17.4136,16.11246,31.17206,16.0295
13,EP,8.273478,25.57633,42.26985,23.71927
13,EP,8.283524,7.442894,39.30567,17.2884
13,EP,11.08624,14.63111,29.59245,14.49714
13,EP,10.40307,16.04145,22.25776,22.93464
13,EP,30.07199,9.786909,21.36499,44.61198
13,EP,10.30913,18.20919,16.1364,41.32604
13,TS,82.00972,37.25798,77.85187,214.59
13,TS,80.08059,51.30142,79.62741,54.55213
13,TS,101.7631,53.99698,104.0478,93.89055
13,TS,61.6252,38.27364,55.59535,56.6311
13,TS,45.39525,236.3436,46.41263,65.71562
13,TS,42.28409,47.90237,68.91373,90.30216
13,TS,37.69853,36.07464,39.64977,54.88216
13,TS,30.48939,37.25023,22.39246,62.01293
13,TS,56.20121,29.14644,90.82811,81.898
13,TS,86.54749,28.40466,44.8548,62.23893
13,JS,22.26055,51.05411,90.0451,53.25647
13,JS,79.57848,18.09952,22.49111,45.49354
13,JS,180.4256,198.1654,13.38556,26.22815
13,JS,61.94856,24.85106,8.791269,22.4332
13,JS,14.66739,16.01536,6.155466,43.52303
13,JS,135.9334,17.08433,9.510774,86.13467
13,JS,23.38876,14.79978,11.22542,53.37488
13,JS,12.3859,17.05363,12.44413,35.81904
13,JS,43.251,10.67356,10.69166,44.85406
13,JS,12.72947,21.01642,22.77895,57.09264
14,AB,0,0,0,0
14,AB,0,0,0,0
14,AB,0,0,0,0
14,AB,0,0,0,0
14,AB,0,0,0,0
14,AB,0,0,0,0
14,AB,0,0,0,0
14,AB,0,0,0,0
14,AB,0,0,0,0
14,AB,0,0,0,0
14,EP,30.25117,13.4629,15.4089,24.4641
14,EP,129.0813,30.9933,5.92466,10.7888
14,EP,27.51555,21.6646,30.9532,26.7467
14,EP,78.78421,16.0369,32.1005,18.5983
14,EP,29.73028,9.41779,21.0093,28.8786
14,EP,71.31842,22.5838,43.0319,6.36344
14,EP,43.4315,30.8973,25.8674,19.6743
14,EP,44.38744,35.1067,29.3722,53.1843
14,EP,87.5211,23.5849,32.7777,41.6837
14,EP,76.82705,37.7244,28.4881,51.1435
14,TS,43.88805,18.9301,46.3261,22.5084
14,TS,21.79011,20.2944,42.3962,40.9356
14,TS,48.68492,50.525,28.9126,79.1051
14,TS,112.436,19.2728,27.7416,70.036
14,TS,41.57958,48.8231,32.738,19.4567
14,TS,26.09115,25.7946,71.0278,23.7026
14,TS,44.00307,23.4506,33.894,26.3448
14,TS,27.71072,30.2343,48.2991,31.5455
14,TS,45.6601,19.6896,34.4522,29.98
