sub_num,case_nm,time_close,time_mid,time_far,time_high
10,EP,3.0556,4.8,7.54448,6.3778
10,EP,2.1,2.8222,6.11113,5.7
10,EP,2.6556,2.8333,7.81115,2.6444
10,EP,3.1222,1.6444,5.40001,2.7556
10,EP,2.3444,1.9667,7.30003,2.5556
10,EP,2.4556,1.6222,6.48891,2.2778
10,EP,2.2111,1.8222,10.9223,2.1
10,EP,5.4111,2.3111,6.21113,2.4667
10,EP,1.8778,2.2778,5.56668,2.9444
10,TS,1.7222,3.2889,3.64444,4.3444
10,TS,1.7,3.5,4.54444,3.2111
10,TS,1.6778,1.8889,5.75557,5.3222
10,TS,5.4778,1.7556,3.92221,5.0222
10,TS,1.7778,3.2889,3.23333,4.6556
10,TS,2,3.2555,8.24449,3.7333
10,TS,2.1778,3.2333,4.91111,4.2444
10,TS,2.0222,2.1222,5.33334,3.6889
10,TS,1.7333,2.7222,4.13332,3.8222
10,TS,2,1.8111,5.42223,7.4889
10,JS,1.9889,1.9111,2.92222,3.5222
10,JS,1.5889,1.5889,3.06666,2.1222
10,JS,2.8111,2.5222,2.97777,3.4667
10,JS,3.2889,2.4333,4.3111,3.4667
10,JS,1.9889,3.6111,3.23333,2.6
10,JS,1.8444,2.8444,3.24444,3.4889
10,JS,1.7667,2.7222,3.15555,8.4
10,JS,1.9111,2.5889,3.57777,2.6778
10,JS,2.1,1.8,3.66666,4.0444
10,JS,3.4,2.7444,5.34445,2.1778
11,AB,1.2778,1.5778,1.8222,1.8778
11,AB,1.2889,1.3778,1.6667,1.8333
11,AB,1.2667,1.6222,1.7,1.7778
11,AB,1.4222,1.4556,1.9778,2.1778
11,AB,1.4444,1.6222,1.7889,1.9333
11,AB,2.3111,1.3333,1.9111,1.6111
11,AB,2.4111,1.3222,1.6778,2.0778
11,AB,1.3667,1.6556,1.6444,1.4889
11,AB,1.1222,1.3667,1.5889,1.6667
11,AB,1.2111,1.3778,1.5444,1.5333
11,EP,5.5333,2.7889,5.5,3.9667
11,EP,2.8556,3.1667,4.6333,3.1667
11,EP,1.5667,3.0667,3.7667,3.3778
11,EP,7.2445,4.5556,3.3778,5.6889
11,EP,1.6444,2.7333,5.5445,5.6778
11,EP,3.9778,2.4333,3.7444,5.2778
11,EP,1.5,4.1333,5.4445,4.5778
11,EP,2.4667,2.2111,4.9889,5.1778
11,EP,1.7444,3.1333,4.2555,3.3667
11,EP,1.3333,3.4111,3.2111,4.2444
11,TS,1.8333,2.6667,3.3333,3.1667
11,TS,1.3111,2.1778,3.0556,3.1555
11,TS,2.5667,2.7333,3.2333,3.5778
11,TS,1.3444,3.0222,3.6667,2.6111
11,TS,1.6444,2.3,2.4111,3.2444
11,TS,1.5,2.4778,2.3222,2.9333
11,TS,1.6778,2.1889,5.6778,2.9333
11,TS,4.5333,1.6667,5.7445,2.3667
11,TS,1.6111,1.7,4.6444,2.9333
11,TS,1.3222,2.9222,2.8444,2.6778
11,JS,1.6444,2.0556,2.5222,4.9
11,JS,1.6556,2.0889,2.1667,2.8333
11,JS,1.6778,2.0222,4.4222,3.2667
11,JS,1.6556,4.3222,2.4333,3.4333
11,JS,5.6111,2.1,1.9778,2.9889
11,JS,1.5667,2.0444,8.0223,4.6778
11,JS,1.5889,1.9222,2.1222,2.6778
11,JS,1.5,1.9111,3.0556,2.7
11,JS,1.2889,1.9333,7.7778,3.1667
11,JS,1.4778,2.1111,2.4556,4.0111
12,AB,1.0222,1.2444,1.9,1.9444
12,AB,1.2333,1.1667,3.3333,2.1889
12,AB,1.1333,1.3,1.6,2.2667
12,AB,1.3333,1.4556,2.3,2.1444
12,AB,1.2778,1.2556,2.2,2.2
12,AB,1.3111,1.5222,1.6778,1.8222
12,AB,1.0333,1.2889,1.7111,1.5667
12,AB,1.1333,1.6222,1.9778,1.8667
12,AB,1.0667,1.2222,1.7667,2.2333
12,AB,1.1667,1.3222,1.7556,1.6222
12,EP,2.1333,1.5111,4.9333,3.3444
12,EP,1.6,3.7,5.9222,3.3
12,EP,1.5444,1.4778,5.4556,3.3778
12,EP,1.4444,1.5111,4.1778,3.3889
12,EP,1.4222,1.4222,4.2889,3.3111
12,EP,1.4556,1.3889,6.8889,3.2222
12,EP,1.3889,1.4333,4.7778,3.1444
12,EP,1.3444,2.4889,4.7556,3.5667
12,EP,1.3222,1.3667,3.8,2.4778
12,EP,1.3444,1.3889,3.7111,3.2444
12,TS,1.5778,2.4,7.9,2.3556
12,TS,1.1778,2.4,5.2222,2.4444
12,TS,1.3444,2.6889,3.3555,2.5889
12,TS,1.2889,2.4889,7.6778,2.7889
12,TS,1.2222,2.4667,3.5111,4.5222
12,TS,1.6333,2.4,2.9444,2.4667
12,TS,1.1778,1.6222,4.2889,2.0111
12,TS,1.1222,3.0667,2.7889,2.0333
12,TS,1.1778,1.6556,2.4333,4.6444
12,TS,1.2556,2.7778,2.7444,3.6
12,JS,1.4222,1.8,2.9,2.9556
12,JS,1.3889,1.7222,2.9111,2.2444
12,JS,1.4111,2.0111,2.5667,2.3111
12,JS,1.3222,1.9,3.8667,2.4667
12,JS,1.2222,1.9333,2.5889,2.3667
