sub_num,case_nm,target,s_j
2,JS,Mid,-1.7269
2,JS,Mid,-1.58
3,AB,Mid,-1.7312
3,AB,Mid,-1.5581
3,AB,Mid,-1.5941
3,AB,Mid,-2.2367
3,AB,Mid,-1.4621
3,AB,Mid,-1.8206
3,AB,Mid,-1.7606
3,AB,Mid,-1.5591
3,AB,Mid,-1.9797
3,AB,Mid,-1.86
3,EP,Mid,-1.4786
3,EP,Mid,-1.4872
3,EP,Mid,-2.0338
3,EP,Mid,-1.6076
3,EP,Mid,-2.4836
3,EP,Mid,-1.5623
3,EP,Mid,-1.7786
3,EP,Mid,-1.8119
3,EP,Mid,-1.5068
3,EP,Mid,-1.7056
3,TS,Mid,-1.8091
3,TS,Mid,-1.5664
3,TS,Mid,-3.1743
3,TS,Mid,-1.9341
3,TS,Mid,-1.6745
3,TS,Mid,-1.6526
3,TS,Mid,-1.5822
3,TS,Mid,-1.9172
3,TS,Mid,-2.036
3,TS,Mid,-1.516
3,JS,Mid,-1.7503
3,JS,Mid,-1.6669
3,JS,Mid,-1.6293
3,JS,Mid,-1.6537
3,JS,Mid,-1.6845
3,JS,Mid,-1.8766
3,JS,Mid,-1.7412
3,JS,Mid,-1.7488
3,JS,Mid,-1.7205
3,JS,Mid,-1.6636
4,AB,Mid,-1.6777
4,AB,Mid,-2.1466
4,AB,Mid,-1.6832
4,AB,Mid,-1.5257
4,AB,Mid,-1.7279
4,AB,Mid,-1.5611
4,AB,Mid,-1.6139
4,AB,Mid,-1.639
4,AB,Mid,-1.597
4,AB,Mid,-1.7071
4,EP,Mid,-1.6356
4,EP,Mid,-2.0418
4,EP,Mid,-2.0985
4,EP,Mid,-2.1732
4,EP,Mid,-2.0273
4,EP,Mid,-2.0318
4,EP,Mid,-2.7926
4,EP,Mid,-1.6596
4,EP,Mid,-1.8724
4,EP,Mid,-2.3077
4,TS,Mid,-2.1004
4,TS,Mid,-2.4304
4,TS,Mid,-2.1006
4,TS,Mid,-1.8253
4,TS,Mid,-2.4611
4,TS,Mid,-2.1335
4,TS,Mid,-1.7752
4,TS,Mid,-1.7889
4,TS,Mid,-2.2511
4,TS,Mid,-2.0729
4,JS,Mid,-1.8029
4,JS,Mid,-2.0729
4,JS,Mid,-1.6903
4,JS,Mid,-1.6801
4,JS,Mid,-2.5848
4,JS,Mid,-1.8767
4,JS,Mid,-1.6712
4,JS,Mid,-1.6313
4,JS,Mid,-3.0569
4,JS,Mid,-2.2382
5,AB,Mid,-1.9084
5,AB,Mid,-1.6184
5,AB,Mid,-1.7405
5,AB,Mid,-1.6939
5,AB,Mid,-1.8112
5,AB,Mid,-1.6234
5,AB,Mid,-1.7397
5,AB,Mid,-1.6162
5,AB,Mid,-1.6112
5,AB,Mid,-1.5694
5,EP,Mid,-1.7528
5,EP,Mid,-1.6283
5,EP,Mid,-2.6
5,EP,Mid,-1.5314
5,EP,Mid,-1.9714
5,EP,Mid,-1.5356
5,EP,Mid,-1.6576
5,EP,Mid,-2.2384
5,EP,Mid,-2.1628
5,EP,Mid,-1.7084
5,TS,Mid,-1.5863
5,TS,Mid,-1.9028
5,TS,Mid,-2.0171
5,TS,Mid,-1.8001
5,TS,Mid,-2.3087
5,TS,Mid,-1.8197
5,TS,Mid,-2.0041
5,TS,Mid,-1.8144
5,TS,Mid,-1.7434
5,TS,Mid,-1.7392
5,JS,Mid,-1.6067
5,JS,Mid,-1.5111
5,JS,Mid,-1.6317
5,JS,Mid,-1.523
5,JS,Mid,-1.5579
5,JS,Mid,-1.6225
5,JS,Mid,-1.6038
5,JS,Mid,-1.7494
5,JS,Mid,-1.5593
5,JS,Mid,-1.5931
6,AB,Mid,-1.634
6,AB,Mid,-1.7344
6,AB,Mid,-1.8074
6,AB,Mid,-1.8059
6,AB,Mid,-1.8467
6,AB,Mid,-1.764
6,AB,Mid,-1.868
6,AB,Mid,-1.7701
6,AB,Mid,-1.6967
6,AB,Mid,-1.822
6,EP,Mid,-2.19
6,EP,Mid,-2.3891
6,EP,Mid,-2.0277
6,EP,Mid,-1.9589
6,EP,Mid,-1.8567
6,EP,Mid,-1.8291
6,EP,Mid,-1.7827
6,EP,Mid,-1.7683
6,EP,Mid,-2.3768
6,EP,Mid,-1.8889
