sub_num,case_nm,target,d_c7
9,AB,Mid,0.025138
9,AB,Mid,0.036917
9,AB,Mid,0.083844
9,AB,Mid,0.035723
9,AB,Mid,0.062575
9,AB,Mid,0.054214
9,AB,Mid,0.062628
9,EP,Mid,0.092121
9,EP,Mid,0.11906
9,EP,Mid,0.079441
9,EP,Mid,0.047219
9,EP,Mid,0.048975
9,EP,Mid,0.094583
9,EP,Mid,0.12486
9,EP,Mid,0.059901
9,EP,Mid,0.092571
9,EP,Mid,0.1065
9,TS,Mid,0.073337
9,TS,Mid,0.095343
9,TS,Mid,0.17884
9,TS,Mid,0.076329
9,TS,Mid,0.22435
9,TS,Mid,0.080708
9,TS,Mid,0.18307
9,TS,Mid,0.043633
9,TS,Mid,0.051826
9,TS,Mid,0.091239
9,JS,Mid,0.073536
9,JS,Mid,0.13718
9,JS,Mid,0.097674
9,JS,Mid,0.070939
9,JS,Mid,0.10751
9,JS,Mid,0.075561
9,JS,Mid,0.070546
9,JS,Mid,0.075516
9,JS,Mid,0.10386
9,JS,Mid,0.14973
10,AB,Mid,0.049125
10,AB,Mid,0.060395
10,AB,Mid,0.054519
10,AB,Mid,0.051676
10,AB,Mid,0.064959
10,AB,Mid,0.072128
10,AB,Mid,0.078905
10,AB,Mid,0.076938
10,AB,Mid,0.049886
10,AB,Mid,0.037141
10,EP,Mid,0.13393
10,EP,Mid,0.076501
10,EP,Mid,0.18357
10,EP,Mid,0.18677
10,EP,Mid,0.16471
10,EP,Mid,0.14871
10,EP,Mid,0.1442
10,EP,Mid,0.13488
10,EP,Mid,0.16501
10,EP,Mid,0.13494
10,TS,Mid,0.087973
10,TS,Mid,0.081717
10,TS,Mid,0.11476
10,TS,Mid,0.099707
10,TS,Mid,0.091022
10,TS,Mid,0.05858
10,TS,Mid,0.069713
10,TS,Mid,0.12353
10,TS,Mid,0.073465
10,TS,Mid,0.13154
10,JS,Mid,0.15988
10,JS,Mid,0.13989
10,JS,Mid,0.08146
10,JS,Mid,0.088728
10,JS,Mid,0.090059
10,JS,Mid,0.05682
10,JS,Mid,0.088455
10,JS,Mid,0.097934
10,JS,Mid,0.13784
10,JS,Mid,0.074921
11,AB,Mid,0.061682
11,AB,Mid,0.039683
11,AB,Mid,0.078349
11,AB,Mid,0.035441
11,AB,Mid,0.077117
11,AB,Mid,0.030462
11,AB,Mid,0.037515
11,AB,Mid,0.013307
11,AB,Mid,0.032177
11,AB,Mid,0.048315
11,EP,Mid,0.07342
11,EP,Mid,0.10106
11,EP,Mid,0.031968
11,EP,Mid,0.047703
11,EP,Mid,0.099293
11,EP,Mid,0.13555
11,EP,Mid,0.0916
11,EP,Mid,0.084224
11,EP,Mid,0.050296
11,EP,Mid,0.035441
11,TS,Mid,0.092336
11,TS,Mid,0.056572
11,TS,Mid,0.091825
11,TS,Mid,0.015142
11,TS,Mid,0.020236
11,TS,Mid,0.028205
11,TS,Mid,0.0026058
11,TS,Mid,0.012612
11,TS,Mid,0.024871
11,TS,Mid,0.057164
11,JS,Mid,0.032042
11,JS,Mid,0.025919
11,JS,Mid,0.047123
