sub_num,case_nm,target,s_h
14,TS,Close,-2.0083
14,TS,Close,-3.0366
14,JS,Close,-1.8556
14,JS,Close,-1.9414
14,JS,Close,-1.8686
14,JS,Close,-1.7442
14,JS,Close,-1.7533
14,JS,Close,-1.734
14,JS,Close,-1.7722
14,JS,Close,-3.2865
14,JS,Close,-1.8413
14,JS,Close,-1.8881
15,AB,Close,-1.6744
15,AB,Close,-1.7614
15,AB,Close,-1.6977
15,AB,Close,-1.8315
15,AB,Close,-1.7351
15,AB,Close,-1.5919
15,AB,Close,-1.7127
15,AB,Close,-1.6733
15,AB,Close,-1.6758
15,AB,Close,-1.5777
15,EP,Close,-2.0807
15,EP,Close,-2.0668
15,EP,Close,-2.0441
15,EP,Close,-2.0892
15,EP,Close,-1.8712
15,EP,Close,-1.7935
15,EP,Close,-1.7953
15,EP,Close,-1.4919
15,EP,Close,-2.1723
15,EP,Close,-1.8407
15,TS,Close,-6.4367
15,TS,Close,-1.6409
15,TS,Close,-1.7784
15,TS,Close,-1.8705
15,TS,Close,-1.8387
15,TS,Close,-1.9156
15,TS,Close,-1.6517
15,TS,Close,-1.7167
15,TS,Close,-2.0225
15,TS,Close,-1.9771
15,JS,Close,-3.6266
15,JS,Close,-1.8533
15,JS,Close,-1.7543
15,JS,Close,-9.8593
15,JS,Close,-1.7754
15,JS,Close,-2.3444
15,JS,Close,-1.7888
15,JS,Close,-1.6356
15,JS,Close,-1.5897
15,JS,Close,-1.748
1,AB,Mid,-1.4325
1,AB,Mid,-1.4349
1,AB,Mid,-1.4065
1,AB,Mid,-1.6926
1,AB,Mid,-1.3977
1,AB,Mid,-1.4141
1,AB,Mid,-1.4009
1,AB,Mid,-1.5743
1,AB,Mid,-1.4053
1,AB,Mid,-1.4011
1,EP,Mid,-1.4812
1,EP,Mid,-1.6489
1,EP,Mid,-2.5296
1,EP,Mid,-1.7162
1,EP,Mid,-1.9053
1,EP,Mid,-1.5597
1,EP,Mid,-1.5928
1,EP,Mid,-1.5491
1,EP,Mid,-1.4665
1,EP,Mid,-1.5141
1,TS,Mid,-2.7901
1,TS,Mid,-1.6281
1,TS,Mid,-1.8185
1,TS,Mid,-1.4728
1,TS,Mid,-1.774
1,TS,Mid,-3.0379
1,TS,Mid,-2.6806
1,TS,Mid,-2.5427
1,TS,Mid,-2.0233
1,TS,Mid,-1.8049
1,JS,Mid,-2.0938
1,JS,Mid,-2.0645
1,JS,Mid,-2.0054
1,JS,Mid,-1.6771
1,JS,Mid,-2.5622
1,JS,Mid,-2.2345
1,JS,Mid,-2.1033
1,JS,Mid,-1.8765
1,JS,Mid,-1.782
1,JS,Mid,-2.0083
2,AB,Mid,-1.5309
2,AB,Mid,-1.8063
2,AB,Mid,-1.6034
2,AB,Mid,-1.5351
2,AB,Mid,-1.3945
2,AB,Mid,-1.4513
2,AB,Mid,-1.5968
2,AB,Mid,-1.528
2,AB,Mid,-1.3995
2,AB,Mid,-1.4889
2,EP,Mid,-1.8494
2,EP,Mid,-1.7842
2,EP,Mid,-1.841
2,EP,Mid,-1.6109
2,EP,Mid,-2.7386
2,EP,Mid,-2.8882
2,EP,Mid,-1.866
2,EP,Mid,-2.1609
2,EP,Mid,-1.5525
2,EP,Mid,-1.7303
2,TS,Mid,-1.4858
2,TS,Mid,-1.7721
2,TS,Mid,-1.6647
2,TS,Mid,-1.8671
2,TS,Mid,-1.7077
2,TS,Mid,-1.6873
2,TS,Mid,-1.7069
2,TS,Mid,-1.6032
2,TS,Mid,-1.6521
2,TS,Mid,-1.7629
2,JS,Mid,-1.5988
2,JS,Mid,-1.6519
2,JS,Mid,-1.6154
2,JS,Mid,-1.5695
2,JS,Mid,-1.5567
2,JS,Mid,-1.6098
2,JS,Mid,-1.7063
2,JS,Mid,-1.5329
2,JS,Mid,-1.5579
2,JS,Mid,-1.6058
3,AB,Mid,-1.4294
3,AB,Mid,-1.4448
3,AB,Mid,-1.4075
3,AB,Mid,-2.2184
3,AB,Mid,-1.4489
3,AB,Mid,-1.4851
3,AB,Mid,-1.5583
3,AB,Mid,-1.4703
3,AB,Mid,-1.5023
3,AB,Mid,-1.472
3,EP,Mid,-1.4756
3,EP,Mid,-1.4133
3,EP,Mid,-2.4392
3,EP,Mid,-1.4971
3,EP,Mid,-1.8675
3,EP,Mid,-1.4847
3,EP,Mid,-1.9037
3,EP,Mid,-1.7846
3,EP,Mid,-1.4495
3,EP,Mid,-1.4602
3,TS,Mid,-1.9842
3,TS,Mid,-1.4664
3,TS,Mid,-1.6836
3,TS,Mid,-1.6444
3,TS,Mid,-1.9965
3,TS,Mid,-1.4691
3,TS,Mid,-2.1357
3,TS,Mid,-2.0989
3,TS,Mid,-1.5652
3,TS,Mid,-1.4339
3,JS,Mid,-1.5482
3,JS,Mid,-1.4356
3,JS,Mid,-1.436
3,JS,Mid,-1.7896
3,JS,Mid,-1.4427
3,JS,Mid,-1.607
3,JS,Mid,-1.4504
3,JS,Mid,-1.4373
3,JS,Mid,-1.5851
3,JS,Mid,-1.5829
4,AB,Mid,-1.3951
4,AB,Mid,-1.4269
4,AB,Mid,-1.4029
4,AB,Mid,-1.5196
4,AB,Mid,-1.3974
4,AB,Mid,-1.4176
4,AB,Mid,-1.4364
4,AB,Mid,-1.4026
4,AB,Mid,-1.4048
4,AB,Mid,-1.3947
4,EP,Mid,-2.0354
4,EP,Mid,-2.0724
4,EP,Mid,-1.9264
4,EP,Mid,-3.4361
4,EP,Mid,-3.8199
4,EP,Mid,-1.9832
4,EP,Mid,-6.4274
4,EP,Mid,-1.9526
4,EP,Mid,-2.1031
4,EP,Mid,-1.903
4,TS,Mid,-3.786
4,TS,Mid,-2.7955
4,TS,Mid,-2.1042
4,TS,Mid,-2.0748
4,TS,Mid,-2.7987
4,TS,Mid,-2.7716
4,TS,Mid,-2.2551
4,TS,Mid,-2.6432
4,TS,Mid,-1.9249
4,TS,Mid,-2.4815
4,JS,Mid,-1.7851
4,JS,Mid,-2.5461
4,JS,Mid,-2.389
4,JS,Mid,-2.0369
4,JS,Mid,-2.4118
4,JS,Mid,-1.8844
4,JS,Mid,-1.9633
4,JS,Mid,-1.9732
4,JS,Mid,-3.0105
4,JS,Mid,-2.132
5,AB,Mid,-1.653
5,AB,Mid,-1.4556
5,AB,Mid,-1.7085
5,AB,Mid,-1.4477
5,AB,Mid,-1.4786
5,AB,Mid,-1.4783
5,AB,Mid,-1.4949
5,AB,Mid,-1.4825
5,AB,Mid,-1.4533
5,AB,Mid,-1.392
5,EP,Mid,-1.4533
5,EP,Mid,-1.417
5,EP,Mid,-1.8716
5,EP,Mid,-1.4383
5,EP,Mid,-1.4381
5,EP,Mid,-1.4682
5,EP,Mid,-1.487
5,EP,Mid,-2.2103
5,EP,Mid,-1.4366
5,EP,Mid,-1.4523
5,TS,Mid,-1.6247
5,TS,Mid,-1.6729
5,TS,Mid,-1.7928
5,TS,Mid,-1.8955
5,TS,Mid,-2.0287
5,TS,Mid,-1.903
5,TS,Mid,-1.5684
5,TS,Mid,-1.8958
5,TS,Mid,-1.6111
5,TS,Mid,-1.7371
5,JS,Mid,-1.5312
5,JS,Mid,-1.9322
5,JS,Mid,-1.6323
5,JS,Mid,-1.4253
5,JS,Mid,-1.8389
5,JS,Mid,-1.737
5,JS,Mid,-1.5086
5,JS,Mid,-2.9935
5,JS,Mid,-1.4765
5,JS,Mid,-1.5806
6,AB,Mid,-1.4036
6,AB,Mid,-1.6101
6,AB,Mid,-1.4775
6,AB,Mid,-1.607
6,AB,Mid,-1.7239
6,AB,Mid,-1.4744
6,AB,Mid,-1.4053
6,AB,Mid,-1.3964
6,AB,Mid,-1.4103
6,AB,Mid,-1.4528
6,EP,Mid,-2.0166
6,EP,Mid,-1.631
6,EP,Mid,-1.5968
6,EP,Mid,-1.587
6,EP,Mid,-1.7134
6,EP,Mid,-1.6598
6,EP,Mid,-1.6541
6,EP,Mid,-1.7084
6,EP,Mid,-2.621
6,EP,Mid,-1.5855
6,TS,Mid,-1.6855
6,TS,Mid,-1.8993
6,TS,Mid,-1.6143
6,TS,Mid,-1.658
6,TS,Mid,-1.4218
6,TS,Mid,-1.7891
6,TS,Mid,-1.6316
6,TS,Mid,-1.4975
6,TS,Mid,-1.8143
6,TS,Mid,-2.5364
6,JS,Mid,-2.1603
6,JS,Mid,-1.6219
