sub_num,case_nm,target,iteration,hdiff
2,EP,Close,23,131.6155
2,EP,Close,24,116.8429
2,EP,Close,25,109.5284
2,EP,Close,26,200.6647
2,EP,Close,27,141.3609
2,EP,Close,28,254.0907
2,EP,Close,29,259.5409
2,EP,Close,30,127.9144
2,EP,Mid,1,13.21911
2,EP,Mid,2,11.91045
2,EP,Mid,3,27.4674
2,EP,Mid,4,24.11742
2,EP,Mid,5,16.88814
2,EP,Mid,6,71.1169
2,EP,Mid,7,87.14219
2,EP,Mid,8,20.62049
2,EP,Mid,9,30.71585
2,EP,Mid,10,21.97012
2,EP,Mid,12,60.09314
2,EP,Mid,13,15.82887
2,EP,Mid,14,17.96691
2,EP,Mid,15,36.0706
2,EP,Mid,16,68.1639
2,EP,Mid,17,208.5666
2,EP,Close,18,150.8083
2,EP,Mid,19,53.12556
2,EP,Mid,20,80.71954
2,EP,Mid,21,32.77165
2,EP,Mid,22,25.30142
2,EP,Mid,23,59.2465
2,EP,Mid,24,42.70323
2,EP,Mid,25,75.63438
2,EP,Mid,26,75.41423
2,EP,Mid,27,55.10354
2,EP,Mid,28,45.68701
2,EP,Mid,29,27.22562
2,EP,Mid,30,48.3954
2,EP,Far,1,66.626801
2,EP,Far,2,53.771131
2,EP,Far,3,25.078874
2,EP,Far,4,53.44748
2,EP,Far,5,46.932564
2,EP,Far,6,60.731754
2,EP,Far,7,21.745327
2,EP,Far,8,36.303899
2,EP,Far,9,18.361144
2,EP,Far,10,22.570141
2,EP,Far,12,64.118794
2,EP,Far,13,37.289773
2,EP,Far,14,70.675083
2,EP,Far,15,41.462805
2,EP,Far,16,79.272353
2,EP,Far,17,88.841524
2,EP,Far,19,219.15532
2,EP,Far,20,149.06054
2,EP,Far,21,78.12741
2,EP,Far,22,271.18677
2,EP,Far,23,60.219868
2,EP,Far,24,141.69075
2,EP,Far,25,75.113551
2,EP,Far,26,47.988264
2,EP,Far,27,141.96496
2,EP,Far,28,42.733037
2,EP,Far,29,29.397882
2,EP,Far,30,31.949509
2,EP,High,1,27.43617
2,EP,High,2,57.95119
2,EP,High,3,11.23248
2,EP,High,4,11.3773
2,EP,High,5,10.21018
2,EP,High,6,50.99332
2,EP,High,7,53.87911
2,EP,High,8,20.0433
2,EP,High,9,25.59427
2,EP,High,10,57.38218
2,EP,High,12,64.83799
2,EP,High,13,27.46094
2,EP,High,14,64.05875
2,EP,High,15,72.10329
2,EP,High,16,25.74309
2,EP,High,17,75.74936
2,EP,High,19,172.1784
2,EP,High,20,198.1833
2,EP,High,21,170.5384
2,EP,High,22,91.27278
2,EP,High,23,20.16333
2,EP,High,24,33.23433
2,EP,High,25,113.2541
2,EP,High,26,39.58122
2,EP,High,27,74.3658
2,EP,High,28,61.36829
2,EP,High,29,58.20318
2,EP,High,30,53.33375
2,TS,Close,1,61.95228
2,TS,Close,2,150.5381
2,TS,Close,3,104.189
2,TS,Close,4,94.99746
2,TS,Close,5,83.66514
2,TS,Close,6,95.64794
2,TS,Close,7,87.15691
2,TS,Close,8,41.96574
2,TS,Close,9,96.59183
2,TS,Close,10,113.717
2,TS,Close,12,54.7908
2,TS,Close,13,43.18287
2,TS,Close,14,32.11382
2,TS,Close,15,50.27763
2,TS,Close,16,46.84617
2,TS,Close,17,36.63124
2,TS,Close,19,59.564
2,TS,Close,20,84.92514
2,TS,Close,21,113.4574
2,TS,Close,22,32.34484
2,TS,Close,23,413.5357
2,TS,Close,24,63.64637
2,TS,Close,25,38.57992
2,TS,Close,26,51.98539
2,TS,Close,27,57.97225
2,TS,Close,28,71.14512
2,TS,Close,29,102.9302
2,TS,Close,30,105.1614
2,TS,Mid,1,43.23
2,TS,Mid,2,14.3783
2,TS,Mid,3,33.5984
2,TS,Mid,4,17.0714
2,TS,Mid,5,17.1513
2,TS,Mid,6,14.6061
2,TS,Mid,7,60.6273
2,TS,Mid,8,31.3008
2,TS,Mid,9,13.2006
2,TS,Mid,10,33.2368
2,TS,Mid,12,38.8428
2,TS,Mid,13,33.031
2,TS,Mid,14,11.8283
2,TS,Mid,15,21.0503
2,TS,Mid,16,10.3764
2,TS,Mid,17,19.6286
2,TS,Mid,19,6.74455
2,TS,Mid,20,8.13126
2,TS,Mid,21,10.4073
2,TS,Mid,22,23.8463
2,TS,Mid,23,13.5644
2,TS,Mid,24,16.7165
2,TS,Mid,25,11.089
2,TS,Mid,26,14.5669
2,TS,Mid,27,22.3784
2,TS,Mid,28,6.00828
2,TS,Mid,29,20.9393
2,TS,Mid,30,15.683
2,TS,Far,1,29.9515
2,TS,Far,2,48.7425
2,TS,Far,3,27.0259
2,TS,Far,4,26.606
2,TS,Far,5,18.9983
2,TS,Far,6,13.2075
2,TS,Far,7,19.9197
2,TS,Far,8,12.1642
2,TS,Far,9,19.5835
2,TS,Far,10,21.1676
2,TS,Far,12,30.503
2,TS,Far,13,30.4776
2,TS,Far,14,16.3996
2,TS,Far,15,23.0318
2,TS,Far,16,24.5301
2,TS,Far,17,19.5565
2,TS,Far,19,10.4261
2,TS,Far,20,14.5233
2,TS,Far,21,17.1797
2,TS,Far,22,15.1074
2,TS,Far,23,35.892
2,TS,Far,24,12.6004
2,TS,Far,25,13.3392
2,TS,Far,26,9.48441
2,TS,Far,27,41.3511
2,TS,Far,28,17.3424
2,TS,Far,29,13.968
2,TS,Far,30,14.3987
2,TS,High,1,28.3663
2,TS,High,2,20.543
2,TS,High,3,54.8381
2,TS,High,4,4.36481
2,TS,High,5,16.1467
2,TS,High,6,28.8657
2,TS,High,7,50.0548
2,TS,High,8,16.1998
2,TS,High,9,23.6067
2,TS,High,10,29.5402
2,TS,High,12,33.9405
2,TS,High,13,25.0358
2,TS,High,14,13.4007
2,TS,High,15,52.7592
2,TS,High,16,36.7686
2,TS,High,17,20.2855
2,TS,High,19,52.238
2,TS,High,20,13.7799
2,TS,High,21,14.3213
2,TS,High,22,35.9123
2,TS,High,23,57.0981
2,TS,High,24,30.8114
2,TS,High,25,29.9318
2,TS,High,26,40.1755
2,TS,High,27,25.153
2,TS,High,28,32.624
2,TS,High,29,18.729
2,TS,High,30,12.3067
2,JS,Close,1,130.8929
2,JS,Close,2,97.91266
2,JS,Close,3,35.81916
2,JS,Close,4,101.7238
2,JS,Close,5,90.91826
2,JS,Close,6,99.15239
2,JS,Close,7,87.44065
2,JS,Close,8,99.62851
2,JS,Close,9,72.94482
2,JS,Close,10,30.53759
2,EP,Close,11,146.184
2,JS,Close,12,139.1614
2,JS,Close,13,99.54982
2,JS,Close,14,70.51814
2,JS,Close,15,96.03209
2,JS,Close,16,83.54515
2,JS,Close,17,96.65089
2,JS,Close,19,97.53194
2,JS,Close,20,73.8115
2,JS,Close,21,158.3853
2,JS,Close,22,93.85446
2,JS,Close,23,110.0501
2,JS,Close,24,170.7604
2,JS,Close,25,161.528
2,JS,Close,26,212.9007
2,JS,Close,27,188.9906
2,JS,Close,28,234.7862
2,JS,Close,29,147.3313
2,JS,Close,30,312.8814
2,JS,Mid,1,45.40052
2,JS,Mid,2,171.6322
2,JS,Mid,3,21.77456
2,JS,Mid,4,39.16941
2,JS,Mid,5,62.13883
2,JS,Mid,6,19.5422
2,JS,Mid,7,25.33861
2,JS,Mid,8,29.95295
2,JS,Mid,9,185.0297
2,JS,Mid,10,35.23768
2,JS,Mid,12,53.08183
2,JS,Mid,13,85.90415
2,JS,Mid,14,69.05026
2,JS,Mid,15,213.3962
2,JS,Mid,16,39.17347
2,JS,Mid,17,75.22796
2,JS,Mid,19,62.65233
2,JS,Mid,20,19.5149
2,JS,Mid,21,56.04801
2,JS,Mid,22,18.79425
2,JS,Mid,23,81.99082
2,JS,Mid,24,49.19823
2,JS,Mid,25,50.93901
2,JS,Mid,26,72.80389
2,JS,Mid,27,35.00987
2,JS,Mid,28,30.48959
2,JS,Mid,29,68.34852
2,JS,Mid,30,64.58972
2,JS,Far,1,121.7208
2,JS,Far,2,39.29537
2,JS,Far,3,21.05926
2,JS,Far,4,19.89569
2,JS,Far,5,20.05491
2,JS,Far,6,16.65648
2,JS,Far,7,48.81581
2,JS,Far,8,115.3703
2,JS,Far,9,53.2171
2,JS,Far,10,35.3289
2,JS,Far,12,58.81325
2,JS,Far,13,39.7639
2,JS,Far,14,57.34207
2,JS,Far,15,169.3733
2,JS,Far,16,44.01781
2,JS,Far,17,56.45532
2,JS,Far,19,443.7285
2,JS,Far,20,163.7636
2,JS,Far,21,40.14923
2,JS,Far,22,124.8602
2,JS,Far,23,32.72584
2,JS,Far,24,29.75899
2,JS,Far,25,52.00938
2,JS,Far,26,31.27979
2,JS,Far,27,36.41505
2,JS,Far,28,50.56518
2,JS,Far,29,24.38037
2,JS,Far,30,33.93219
2,JS,High,1,190.1769
2,JS,High,2,38.28177
2,JS,High,3,113.1117
2,JS,High,4,42.336
2,JS,High,5,38.24948
2,JS,High,6,29.43904
2,JS,High,7,21.27422
2,JS,High,8,17.11418
2,JS,High,9,20.03129
2,JS,High,10,69.93462
2,JS,High,12,82.20568
2,JS,High,13,42.26098
2,JS,High,14,178.0167
2,JS,High,15,71.11415
2,JS,High,16,50.95634
2,JS,High,17,39.70566
2,JS,High,19,114.3313
2,JS,High,20,47.93043
2,JS,High,21,34.23275
2,JS,High,22,30.16573
2,JS,High,23,66.06394
2,JS,High,24,28.44091
2,JS,High,25,175.6178
2,JS,High,26,35.2941
2,JS,High,27,105.8538
2,JS,High,28,102.373
2,JS,High,29,100.1788
2,JS,High,30,62.43866
2,JS,Close,11,108.1048
2,TS,Close,11,65.16116
2,EP,High,11,62.83748
2,JS,Mid,11,49.92765
2,JS,Far,11,32.8943
2,TS,Far,11,32.5532
2,TS,High,11,30.2628
2,EP,Mid,11,27.52941
2,JS,High,11,25.80675
2,TS,Mid,11,11.5593
2,JS,Mid,18,75.88615
2,EP,Mid,18,66.54882
2,TS,Close,18,44.43492
2,TS,High,18,40.4503
2,EP,High,18,39.2069
2,EP,Far,18,34.048951
2,JS,Far,18,29.03283
2,TS,Mid,18,26.5323
2,TS,Far,18,18.4551
2,JS,High,18,9.072294
3,TS,Far,11,214.2663
3,JS,High,11,137.0406
3,EP,Close,1,22.53863
3,EP,Close,2,26.23703
3,EP,Close,3,16.01417
3,EP,Close,4,136.0553
3,EP,Close,5,38.04562
3,EP,Close,6,110.1927
3,EP,Close,7,16.68512
3,EP,Close,8,65.17228
3,EP,Close,9,36.88312
3,EP,Close,10,22.33613
3,EP,Close,12,16.29251
3,EP,Close,13,17.56756
3,EP,Close,14,12.33242
3,EP,Close,15,42.32807
3,EP,Close,16,21.41147
3,EP,Close,17,20.84178
3,EP,Close,19,12.26
3,EP,Close,20,8.982124
3,EP,Close,21,17.33513
3,EP,Close,22,8.278048
3,EP,Close,23,58.27453
3,EP,Close,24,13.31215
3,EP,Close,25,140.0458
3,EP,Close,26,21.62929
3,EP,Close,27,61.54906
3,EP,Close,28,16.07498
3,EP,Close,29,15.28881
3,EP,Close,30,19.75441
3,EP,Mid,1,2.88998
3,EP,Mid,2,27.2898
3,EP,Mid,3,33.5399
3,EP,Mid,4,13.1334
3,EP,Mid,5,25.2918
3,EP,Mid,6,15.4068
3,EP,Mid,7,12.9581
3,EP,Mid,8,12.8297
3,EP,Mid,9,14.7807
3,EP,Mid,10,15.0802
3,EP,Mid,12,12.7509
3,EP,Mid,13,9.25575
3,EP,Mid,14,23.2476
3,EP,Mid,15,14.1296
3,EP,Mid,16,46.7173
3,EP,Mid,17,8.62936
3,EP,Mid,19,27.7471
3,EP,Mid,20,19.9005
3,EP,Mid,21,11.9506
3,EP,Mid,22,8.57087
3,EP,Mid,23,40.8198
3,EP,Mid,24,16.6087
3,EP,Mid,25,50.3065
3,EP,Mid,26,14.6535
3,EP,Mid,27,26.4762
3,EP,Mid,28,7.60095
3,EP,Mid,29,8.08256
3,EP,Mid,30,10.9424
3,EP,Far,1,19.31002
